year,fatal_shootings,population,fatal_shootings_per_100k,fatal_shootings_per_1m,unarmed_count,unarmed_per_1m,armed_with_gun_count,armed_with_gun_per_1m,mental_illness_related_count,mental_illness_related_per_1m,body_camera_count,body_camera_per_1m,race_known_count,race_missing_count,population_source_vintage
2015,995,320635163,0.3103,3.1032,94,0.2932,565,1.7621,261,0.814,75,0.2339,976,19,Census PEP Vintage 2019
2016,959,322941311,0.297,2.9696,64,0.1982,523,1.6195,249,0.771,145,0.449,920,39,Census PEP Vintage 2019
2017,984,324985539,0.3028,3.0278,69,0.2123,573,1.7632,240,0.7385,111,0.3416,924,60,Census PEP Vintage 2019
2018,992,326687501,0.3037,3.0365,59,0.1806,555,1.6989,220,0.6734,125,0.3826,937,55,Census PEP Vintage 2019
2019,993,328239523,0.3025,3.0252,54,0.1645,594,1.8097,217,0.6611,138,0.4204,902,91,Census PEP Vintage 2019
2020,1021,331578104,0.3079,3.0792,61,0.184,652,1.9664,223,0.6725,181,0.5459,921,100,Census PEP Vintage 2025
2021,1050,332100166,0.3162,3.1617,33,0.0994,634,1.9091,153,0.4607,225,0.6775,925,125,Census PEP Vintage 2025
2022,1097,333996304,0.3284,3.2845,51,0.1527,665,1.991,158,0.4731,209,0.6258,910,187,Census PEP Vintage 2025
2023,1164,336755052,0.3457,3.4565,51,0.1514,718,2.1321,161,0.4781,353,1.0482,956,208,Census PEP Vintage 2025
2024,1175,340003797,0.3456,3.4558,29,0.0853,674,1.9823,175,0.5147,237,0.6971,871,304,Census PEP Vintage 2025
