metric,new_mexico,rest_us_mean,rest_us_median,west_excluding_nm_mean,west_excluding_nm_median,nm_vs_rest_mean_ratio,nm_vs_west_ex_nm_mean_ratio,nm_percentile_among_states
annualized_rate_per_1m,10.39598,3.5572174000000008,3.45965,5.315255,5.227895,2.9225034151693956,1.9558760586274788,100.0
avg_density,17.35972810763574,429.09774118827414,109.97170194658955,71.35889584668247,41.57854272640688,0.040456349314639845,0.24327349662099354,11.76470588235294
gun_share,0.6712328767123288,0.5850440832335629,0.5989449147343884,0.5686278065491256,0.5732811468452325,1.1473201694518416,1.1804432864194425,90.19607843137254
unarmed_share,0.0547945205479452,0.05125782125279011,0.04627939218404689,0.04602745306256014,0.0461323706377858,1.0689982369268687,1.1904747471790136,56.86274509803921
mental_illness_share,0.1598173515981735,0.20752771630981054,0.19851899780725402,0.1808297694576816,0.16843971631205673,0.77010123968014,0.8838000074737391,21.56862745098039
bodycam_share,0.1780821917808219,0.1849427325076597,0.16367225325884543,0.17052287945634015,0.16599999999999998,0.9629045130142995,1.0443301939809033,60.78431372549019
race_missing_share,0.1963470319634703,0.1125679123700923,0.1138163415145794,0.1573972345391332,0.16670676691729325,1.7442540047996566,1.247461764740556,94.11764705882352
unique_agencies_per_1m_mean,6.696942949264084,2.844178944804154,2.779709863748693,3.765898988225951,3.511576449862469,2.3546137845856343,1.7783118905212316,100.0
sheriff_share_mean,0.29073643080420575,0.24650459905021307,0.24309467448140792,0.23157106499597288,0.271326666072055,1.179436131919724,1.2554955033318251,60.78431372549019
local_police_share_mean,0.6399288150042626,0.6853806162635726,0.6763374741200828,0.7304369633652854,0.702713737968349,0.9336838536416517,0.8760904049214162,41.17647058823529
top_city_share,0.3532110091743119,0.19611765246326437,0.16478929900432465,0.23517058650897696,0.21785268414481895,1.8010158939694292,1.5019353160512237,90.19607843137254
top_county_share,0.3793103448275862,0.29320221929977547,0.22356544165054804,0.37208872512345414,0.36764705882352944,1.293681697681054,1.0194083271449195,72.54901960784314
