armed_with,NM,Rest_US
blunt_object,6,246
blunt_object;blunt_object,0,4
blunt_object;gun,0,1
blunt_object;knife,0,3
blunt_object;other,0,1
gun,144,5896
gun;knife,0,42
gun;other,0,2
gun;vehicle,2,37
knife,23,1753
knife;blunt_object,1,4
knife;knife,0,6
knife;replica,0,2
knife;unknown,0,1
knife;vehicle,0,3
missing,6,205
other,1,107
other;blunt_object;knife,0,1
other;gun,0,4
other;knife,0,1
replica,6,325
replica;blunt_object,0,1
replica;knife,0,1
replica;vehicle,0,1
unarmed,12,553
undetermined,12,451
unknown,0,165
vehicle,5,367
vehicle;gun,1,24
vehicle;knife,0,3
vehicle;knife;other,0,1
