factor,pearson_r,pearson_p,spearman_rho,spearman_p
unique_agencies_per_1m_mean,0.8755445997254758,4.258425940657992e-17,0.8910407239819005,1.9710145590260053e-18
avg_log_density,-0.6404552496244941,4.161038077767018e-07,-0.6617194570135747,1.2432630329088158e-07
avg_density,-0.048809802253659246,0.7337563408820141,-0.6617194570135747,1.2432630329088158e-07
mental_illness_share,-0.43260077444717887,0.0015221975656860539,-0.5238127560787714,7.990912236229385e-05
race_missing_share,0.4180875022936637,0.0022664797591996216,0.41964750344458585,0.0021733542836802336
sheriff_share_mean,0.23505183103842348,0.09684523598162581,0.3837444189618465,0.005438500772814839
bodycam_share,-0.29066489948020213,0.038526314539834385,-0.3479342960257103,0.012354266797983746
gun_share,0.43067046206719917,0.0016065856227269074,0.32747347233431834,0.018989465090203612
local_police_share_mean,-0.15755359602030605,0.269516196109037,-0.24307692307692305,0.08565717481296464
city_hhi,0.12623028033988484,0.37742316332314074,0.07891402714932128,0.5820126774658175
top_city_share,0.17398156395933828,0.22208133381395018,0.05656108597285068,0.6934119889403887
unarmed_share,-0.018353214684443613,0.8982838806368117,-0.04896370732335532,0.7329478876493866
top_county_share,0.09236363940769395,0.5191630604213979,0.021811435215529834,0.879249082052402
county_hhi,0.038980062240316825,0.7859485812818131,-0.014660633484162895,0.9186711842552964
